serial,latitude,longitude,height,type
94,50.9424778,7.89273090000006,331.0128,dump1090
95,59.7684060829518,18.1312409343394,33.8328,dump1090
96,48.193534,11.857192,509.016,dump1090
97,44.6967908,10.6345628,62.7888,dump1090-hptoa
98,47.5781813,-0.565157999999997,54.864,dump1090
99,44.6967959,10.6356624,58.5216,dump1090
100,53.5793,9.84913,29.8704,dump1090
101,60.0842334594788,10.8689534227669,204.8256,dump1090
102,50.89015,15.7527,366.0648,dump1090
103,52.129029948286,5.01896772530381,1.524,dump1090
104,46.4285771,8.15725799999996,1554.48,dump1090
105,47.6266098,21.5786271,44.196,dump1090
106,46.7611,23.3828,405.0792,dump1090
107,40.33137,-3.7277,70.104,dump1090
108,40.3137,-3.7277,230.124,dump1090
109,45.6,12.25,14.9352,dump1090
110,54.2235536,-1.34324479999998,19.812,dump1090
111,51.380719,0.103613300000006,58.5216,dump1090
112,51.0011826,-2.41604919999998,93.8784,dump1090
113,51.4274265,-0.748487599999976,67.056,SBS-3
114,51.1193,3.7031,13.1064,dump1090
115,48.7387628895845,12.7061903436552,108.204,dump1090
116,41.5372,2.0887,188.0616,dump1090
117,51.4359631970015,6.99439409514127,100.584,dump1090
118,51.759019,-1.256849,56.076071,Radarcape
119,46.762394,7.600568,626.926208,Radarcape
120,50.048584,8.487752,92.620644,Radarcape
121,47.070521,7.620542,560.806758,Radarcape
122,49.436934,7.769658,291.037307,Radarcape
123,47.887705,6.56149,583.75819,Radarcape
124,47.538195,7.559487,352.782682,Radarcape
125,49.287615,7.603885,391.634221,Radarcape
126,47.192229,8.853196,416.746005,Radarcape
127,46.829038,7.604943,598.178872,Radarcape
128,47.446294,8.210369,438.847942,Radarcape
129,50.116864,8.358463,322.857072,Radarcape
130,49.424797,7.752909,292.221497,Radarcape
131,46.479491,6.837746,684.156348,Radarcape
132,45.556052,10.225396,223.256345,Radarcape
133,46.049908,14.469008,346.883193,Radarcape
134,50.937081,7.353797,262.311051,Radarcape
135,41.855279,12.62403,135.857419,Radarcape
136,38.689375,-9.354864,73.735694,Radarcape
137,41.109819,16.877839,65.075445,Radarcape
138,46.513769,15.188029,1577.346652,Radarcape
139,49.438824,7.771895,241.254547,Radarcape
140,59.896408,10.804862,135.955536,Radarcape
141,47.511948,10.280076,754.537476,Radarcape
142,48.196694,16.37111,203.513042,Radarcape
143,48.365822,11.478391,492.926239,Radarcape
144,48.548382,12.087296,396.602417,Radarcape
145,0,0,0,dump1090
146,38.806055,-9.203692,185.034217,Radarcape
147,47.036079,8.324028,479.55014,Radarcape
148,45.692803,13.74957,326.47793,Radarcape
149,48.178822,12.235501,529.392761,Radarcape
150,43.571663,1.471375,163.568054,Radarcape
151,60.189488,24.833131,16.74441,Radarcape
152,64.139515,-21.955715,21.457873,Radarcape
153,47.0704,7.6206,550,dump1090
154,52.532751,7.309251,32,dump1090
155,52.253689,7.99296,72,dump1090
156,51.412,-0.843,50,dump1090
157,51.412,-0.843,50,dump1090
158,51.412,-0.843,50,dump1090
159,47.0704,7.6206,550,dump1090
160,49.4387,7.772,250,dump1090
161,53.1833,9.2333,2,dump1090
162,52.4388,9.7428,56,dump1090
163,39.296,-9.2343,159,dump1090
164,46.96578,7.464766,500,dump1090
165,53.6876,10.0896,30,dump1090
166,48.2886,16.4514,161,dump1090
167,40.4417,-3.7944,680,dump1090
168,52.3784,10.4796,88,dump1090
169,51.4046,-0.2487,36,dump1090
170,52.532751,7.309251,32,dump1090
171,51.29361,13.355589,322,dump1090
172,51.489726,13.877256,143,dump1090
173,56.0128,-3.5962,67.056,dump1090
174,53.384638,-6.601985,44.662852,Radarcape
175,52.253976,-7.188814,94.402609,Radarcape
176,52.436015,13.361244,20,dump1090
177,-33.868162,18.692031,327,dump1090
178,-33.868162,18.692031,327,dump1090
179,48.5229,8.9266,428,dump1090
180,40.451329,-3.576989,626,dump1090
181,51.2079,6.9788,123,dump1090
182,48.2241,10.1776,540,dump1090
183,49.9943,8.6604,136,dump1090
184,52.99,-0.411,8,dump1090
185,51.759014,-1.256688,47.337597,Radarcape
186,48.266,10.052,510,dump1090
187,38.103681,13.345745,72.931049,Radarcape
188,41.437922,1.955375,200,dump1090
189,44.8839,-0.4228,45,dump1090
190,53.4701,-1.345312,7,dump1090
191,53.4701,-1.345312,7,dump1090
192,48.196714,16.371077,250,dump1090
193,52.284961,8.025576,89,dump1090
194,43.5377,1.5345,170,dump1090
195,58.243726,-6.351554,20,dump1090
196,49.15336,7.78477,239,dump1090
197,53.0433,-2.2295,200,dump1090
198,52.05064,5.64182,20,dump1090
199,54.9723,24.777,148,dump1090
200,48.3125,16.2491,190,dump1090
201,53.469921,9.68189,24.389696,Radarcape
202,41.275276,1.98709,23.81134,Radarcape
203,50.883423,4.724504,36,dump1090
204,53.954678,-10.029725,400.66656,Radarcape
205,48.296543,10.137248,520.203674,Radarcape
206,14.4502,-17.042,15,dump1090
207,51.6418,-0.723,168,dump1090
208,52.780922,-1.20459,42.761841,Radarcape
209,53.4041,13.9136,39,dump1090
210,48.2013,16.4681,160,dump1090
211,43.51186,16.474756,15,dump1090
212,59.241302,18.19672,69.372414,Radarcape
213,52.089724,4.404845,15,dump1090
214,47.0237,15.5684,4068,dump1090
215,54.9077,8.3091,8,dump1090
216,51.872524,-0.506857,181.261017,Radarcape
217,52.030205,4.321726,164,dump1090
218,52.592428,7.286886,43.81,dump1090
219,51.29036,8.60847,600,dump1090
220,46.15943,8.88487,200,dump1090
221,50.802936,7.258356,90,dump1090
222,46.200818,8.789325,1651.368017,Radarcape
223,50.125489,8.697875,404,dump1090
224,50.720974,7.108665,119.11367,Radarcape
225,51.7893,11.73322,84,dump1090
226,52.09285,4.36645,32,dump1090
227,50.945478,7.074542,50,dump1090
228,53.3575,-1.4963,147,dump1090
229,52.4506,5.5004,0,dump1090
230,48.1995,15.3979,245,dump1090
231,53.23026,-0.89875,64,dump1090
232,50.942365,7.057252,60,dump1090
233,50.1349,8.6813,100,dump1090
234,36.779413,12.00419,816.661257,Radarcape
235,55.761594,12.492149,24,dump1090
236,51.062848,13.674202,145,dump1090
237,53.40785,-1.43509,90,dump1090
238,52.719795,-1.332951,179,dump1090
239,55.932,-4.679,153,dump1090
240,51.2438,6.5479,46,dump1090
241,53.8156,-1.7132,160,dump1090
242,47.267,11.3861,604,dump1090
243,42.77,11.1127,11,dump1090
244,51.4416,-1.025,54,dump1090
245,51.2368,0.541,83,dump1090
246,52.1805,-0.422236,74,dump1090
247,51.486576,7.597741,146.599701,Radarcape
248,51.22847,6.679641,46,dump1090
249,52.39377,4.94997,10,dump1090
250,49.7369,10.1611,205,dump1090
251,44.6263,-1.1569,12,dump1090
252,41.992264,-8.7078,30,dump1090
253,52.1983,5.9349,26,dump1090
254,51.2075,4.7705,18,dump1090
255,52.34943,4.88683,1,dump1090
256,53.306334,9.987466,22,dump1090
257,49.529575,10.906107,306.899536,Radarcape
258,51.2189,6.9488,137.6,dump1090
259,47.446297,8.21032,399.366288,Radarcape
260,47.8358,12.0473,470,dump1090
261,51.486,0.0769,36,dump1090
262,59.689396,10.344382,5.966146,Radarcape
263,48.891438,9.177633,303.71347,Radarcape
264,51.90879,-10.24153,22,dump1090
265,51.88267,-8.61178,38,dump1090
266,50.1645,8.62999,120,dump1090
267,40.567,-3.459,873,dump1090
268,41.7188,13.613,285,dump1090
269,51.827322,-3.10164,108,dump1090
270,40.4974,-3.7216,677,dump1090
271,37.9241,23.7467,350,dump1090
272,50.81679,5.18647,53,dump1090
273,53.2773,16.4862,121,dump1090
274,53.265,16.4879,124,dump1090
275,51.0718,16.9944,127,dump1090
276,53.6183,13.337,74,dump1090
277,45.9765,8.9459,900,dump1090
278,51.8273,-3.1016,108,dump1090
279,52.9835,-0.0232,5.37,dump1090
280,49.99,8.264,120,dump1090
281,50.8516,4.3993,20,dump1090
282,40.191,-3.6741,600,dump1090
283,53.5278,7.945,10,dump1090
284,50.7503,6.2147,263,dump1090
285,51.1725,-0.6132,112,dump1090
286,53.3922,-2.8931,70,dump1090
287,38.69456,-9.30871,154,dump1090
288,51.9899,4.3754,30,dump1090
289,52.532751,0.309251,32,dump1090
290,53.30742,9.98659,25,dump1090
291,51.0521,13.6796,200,dump1090
292,37.924,23.747,150,dump1090
293,49.0255,1.1502,66,dump1090
294,51.245766,-0.768927,108.586784,Radarcape
295,50.74681,1.604528,59,dump1090
296,49.5692,6.064,331,dump1090
297,48.2459,11.6559,493,dump1090
298,51.382077,13.671083,109,dump1090
299,48.656918,8.724765,360.912781,Radarcape
300,48.1167,16.6094,170,dump1090
301,47.67319,9.05184,414,dump1090
302,50.3979,7.5024,75,dump1090
303,47.3762,8.2365,420,dump1090
304,50.75831,-1.53729,19,dump1090
305,50.9423,7.05741,52,dump1090
306,50.84692,5.70646,50,dump1090
307,50.84692,5.70646,50,dump1090
308,48.73943,10.11616,540,dump1090
309,47.44561,8.59486,488,dump1090
310,47.4076,8.511,575,dump1090
311,50.95737,10.90817,301,dump1090
312,49.1641,2.8778,132,dump1090
313,32.6979,-16.7744,75,dump1090
314,50.8436,16.4238,270,dump1090
315,50.8633,4.5224,73,dump1090
316,51.5946,-3.7803,14.76,dump1090
317,49.424936,7.753407,884,dump1090
318,46.1566,11.7335,767,dump1090
319,48.715027,2.232624,185.816284,Radarcape
320,54.1917,9.4025,14,dump1090
321,53.7635,9.6376,15,dump1090
322,51.365413,-1.267867,85,dump1090
323,48.116489,16.612076,158,dump1090
324,46.95348,7.43657,555,dump1090
325,47.347179,8.641771,658.186853,Radarcape
326,46.46675,6.8616,500,dump1090
327,51.833,4.142646,10.983597,Radarcape
328,41.8375,12.6012,88,dump1090
329,41.7861,12.4659,70,dump1090
330,49.01421,2.06842,46.5,dump1090
331,48.2704,12.2448,460,dump1090
332,46.76241,7.60051,575,dump1090
333,53.5793,9.84913,30,dump1090
334,0,0,0,dump1090
335,0,0,0,dump1090
336,46.0411,8.8376,1585,dump1090
337,0,0,0,dump1090
338,49.438818,7.772259,50,dump1090
339,46.4522,6.902,556,dump1090
340,53.21507,6.57099,11,dump1090
341,58.468,16.32,65,dump1090
342,46,6,500,dump1090
343,49.6568,11.0374,300,dump1090
344,48.2468,11.6481,10,dump1090
345,45.8281,15.6929,170,dump1090
346,47.4376,18.9115,548,dump1090
347,50.2582,19.5779,12,dump1090
348,50.2582,19.5779,12,dump1090
349,42.9004,-1.5432,491,dump1090
350,45.9351,13.6216,112,dump1090
351,60.1345,15.1844,200,dump1090
352,52.4356,13.5866,55,dump1090
353,52.107899,-2.328917,148.451843,Radarcape
354,51.4936,0.0825,15,dump1090
355,51.008318,6.54955,63,dump1090
356,45.3568,5.3327,390,dump1090
357,51.1703,0.8729,1200,dump1090
358,51.6693,7.7867,78,dump1090
359,47.44342,8.62851,460,dump1090
360,54.058,9.4009,40,dump1090
361,49.471539,7.696475,261.505,GRX1090
362,51.6255,-2.6718,46,dump1090
363,49.8503,6.8093,230,dump1090
364,43.3933,5.3384,226,dump1090
365,51.33884,-0.79254,60,dump1090
366,51.337472,6.845952,35,dump1090
367,55.31463,12.060169,90,dump1090
368,46.206,9.0195,240,dump1090
369,46.6847,7.86757,574,dump1090
370,38.408687,-0.416826,30,dump1090
371,38.89604,22.47462,31,dump1090
372,47.4233,8.5398,420,dump1090
373,51.9607,1.3274,80,dump1090
374,48.072,1.334,100,dump1090
375,45.2235,5.8144,220,dump1090
376,63.870094,11.183974,124.00621,Radarcape
377,51.5532,-0.1939,75.9,dump1090
378,51.5532,-0.1939,75.9,dump1090
379,53.6052,9.0814,10,dump1090
380,48.4796,7.9516,165,dump1090
381,43.51186,16.459022,50,dump1090
382,56.0333,14.1333,0,dump1090
383,46.9286,7.1707,570,dump1090
384,50.7032,12.4876,922,dump1090
385,46.0382,8.9547,535,dump1090
386,46.0382,8.9547,535,dump1090
387,50.01726,8.67523,136,dump1090
388,49.569286,6.064015,331,dump1090
389,55.8874,-4.2243,300,dump1090
390,46.2111,9.0077,853,dump1090
391,51.1018,-0.1788,77,dump1090
392,51.9182,-0.6049,120,dump1090
393,48.10653,16.86784,268,dump1090
394,53.2159,5.82065,1.15,dump1090
395,53.2159,5.82065,1.9,dump1090
396,53.2159,5.82065,1.9,dump1090
397,38.1492,13.3393,103,dump1090
398,51.242813,6.684991,43.901066,Radarcape
399,51.401,-0.0649,51,dump1090
400,46.2061,9.0195,235,dump1090
401,51.1018,-0.1788,77,dump1090
402,37.171374,-7.521783,66.534193,Radarcape
403,53.5478,-2.617,58,dump1090
404,44.0981,9.9841,15,dump1090
405,49.15917,15.1995,546.5,dump1090
406,49.569286,6.064015,331,dump1090
407,49.425,7.7533,231,dump1090
408,40.337,-3.7702,700,dump1090
409,47.67656,9.16447,430,dump1090
410,48.0833,7.36667,186,dump1090
411,49.89982,8.67707,153,dump1090
412,53.34707,-3.00976,47,dump1090
413,43.9793,4.6816,141,dump1090
414,49.287572,7.603982,410.652,GRX1090
415,52.036389,5.146389,8.5,dump1090
416,54.32576,10.07515,85.3018,dump1090
417,49.424909,7.753427,200,dump1090
418,43.5856,1.42854,10,dump1090
419,47.3775,8.2366,417,dump1090
420,37.9241,23.7467,120,dump1090
421,47.44277,8.63818,490,dump1090
422,47.44277,8.63818,490,dump1090
423,45.3321,14.43444,42,dump1090
424,51.0673,4.5349,10,dump1090
425,49.7625,0.3792,26,dump1090
426,49.424779,7.753098,322.746,GRX1090
427,52.14509,4.64743,0,dump1090
428,46.928,7.4933,558,dump1090
429,51.5206,-2.53623,76,dump1090
430,50.14247,14.79516,207.5,dump1090
431,53.404325,-6.414067,500,dump1090
432,49.16989,6.82573,236,dump1090
433,59.55814,17.543545,15,dump1090
434,43.339208,2.813991,0,dump1090
435,29.69174,-9.719102,0,dump1090
436,33.922416,-6.919103,85,dump1090
437,50.10257,8.678861,99,dump1090
438,56.963668,24.123411,11,dump1090
439,46.9279,7.4939,580,dump1090
440,50.048545,8.487905,86.608,GRX1090
441,52.20682,4.40311,1,dump1090
442,48.614942,2.387685,88.9,dump1090
443,51.429999,-2.611322,62.3,dump1090
444,49.55713,10.86463,331,dump1090
445,51.774082,9.381135,150,dump1090
446,67.2772,14.4923,46,dump1090
447,52.14,21.43,100,dump1090
448,52.14,21.43,100,dump1090
449,51.440506,6.751252,31.077,GRX1090
450,43.571515,1.471747,148,dump1090
451,60.072876,10.9988,666,dump1090
452,48.79348,2.33453,40,dump1090
453,47.910085,8.617668,2227,dump1090
454,54.8578,-5.823622,30,dump1090
455,51.7221,0.4756,40,dump1090
456,51.1783,6.8273,38,dump1090
457,53.5017,-2.3075,85,dump1090
458,53.0628,6.0762,5,dump1090
459,53.06278,6.07622,5,dump1090
460,49.471596,7.696563,267.632,GRX1090
461,48.22067,11.32825,512,dump1090
462,49.702847,6.721475,307.87,GRX1090
463,51.1776,-0.9228,150,dump1090
464,55.708159,21.133944,5,dump1090
465,54.634068,-5.671933,50,dump1090
466,52.02494,-0.80887,106,dump1090
467,52.7573,-0.3731,5,dump1090
468,53.64,10.577333,47,dump1090
469,52.1114,11.6383,57,dump1090
470,46.762404,7.600447,590.875,GRX1090
471,47.56561,7.52137,330,dump1090
472,51.5229,-0.6705,1,dump1090
473,47.988,0.1954,50,dump1090
474,47.377821,8.552487,503.953,GRX1090
475,60.921,16.6789,102,dump1090
476,33.045397,-3.994095,0,dump1090
477,52.4316,17.0727,82,dump1090
478,46.29712,8.99258,275,dump1090
479,52.67,4.9,12,dump1090
480,53.06278,6.07622,5,dump1090
481,48.136811,11.663854,538,dump1090
482,50.88608,8.13946,332,dump1090
483,4.93595,4.93595,114.90277,dump1090
484,48.69107,9.162977,430,dump1090
485,54.804032,11.872534,13,dump1090
486,53.5478,-2.6173,58,dump1090
487,36.674449,2.984832,970,dump1090
488,45.9412,13.0465,37,dump1090
489,48.2151,10.18,537,dump1090
490,51.195517,7.360151,367,dump1090
491,52.7895,-0.1411,6,dump1090
492,49.9901,8.4154,107,dump1090
493,52.179668,-9.774049,10,dump1090
494,48.0482,16.5149,200,dump1090
495,48.0483,16.515,200,dump1090
496,52.676435,-8.652775,0,dump1090
497,48.552312,12.127845,392,dump1090
498,52.352,4.8598,8,dump1090
499,46.761899,7.600161,650,dump1090
500,46.76247,7.600636,600,dump1090
501,50.8076,7.0169,170,dump1090
502,51.075673,13.747697,135,dump1090
503,47.4174,9.3648,686,dump1090
504,52.208,4.4679,21,dump1090
505,52.454559,0.204492,0,dump1090
506,52.3794,4.5471,3,dump1090
507,53.062772,6.076188,5,dump1090
508,50.3175,14.5184,220,dump1090
509,50.7771,4.953,45,dump1090
510,60.801344,11.092102,150,dump1090
511,51.541242,0.735821,29,dump1090
512,52.169036,5.376477,4,dump1090
513,39.2763,-7.5905,258,dump1090
514,-84.139365,9.992875,1150,dump1090
515,51.23,-0.64,120,dump1090
516,40.4116,-4.5003,702,dump1090
517,40.4116,-4.50035,5,dump1090
518,45.88487,8.95262,546,dump1090
519,47.04231,16.07755,295,dump1090
520,50.89066,15.75301,376,dump1090
521,51.5889,-1.4265,91,dump1090
522,52.7194,8.2766,10.0584,dump1090
523,37.92413,23.74668,116,dump1090
524,51.486,-0.3869,114,dump1090
525,52.30227,4.8577,45,dump1090
526,59.4236,24.6693,50,dump1090
527,50.259644,8.967243,163,dump1090
528,48.313749,16.249047,190,dump1090
529,53.062735,6.076186,5,dump1090
530,50.74681,1.604528,59,dump1090
531,48.6907,9.7078,380,dump1090
532,51.522022,-0.092374,88.74646,Radarcape
533,56.421447,10.862345,35,dump1090
534,47.2819,19.1317,141,dump1090
535,43.4958,5.4778,1036,dump1090
536,52.30234,4.85782,150,dump1090
537,51.7446,15.5971,120,dump1090
538,59.77269,18.13201,29,dump1090
539,50.5383,12.4996,622,dump1090
540,44.32963,23.80569,137,dump1090
541,50.0852,8.4627,122,dump1090
542,53.136058,8.224194,10,dump1090
543,51.3821,13.6711,105,dump1090
544,36.6042,-6.27369,30,dump1090
545,48.1027,11.6401,500,dump1090
546,50.094833,14.357417,305,dump1090
547,50.2787,18.9471,286,dump1090
548,40.34601,-3.849355,690,dump1090
549,53.5478,-2.617,58,dump1090
550,50.206009,6.978471,434.708,GRX1090
551,53.373,-6.33592,40,dump1090
552,43.34309,1.14968,240,dump1090
553,50.0852,8.4627,122,dump1090
554,59.4459,24.8749,55,dump1090
555,48.3125,16.2491,199,dump1090
556,52.22415,6.90778,56,dump1090
557,52.22415,6.90778,56,dump1090
558,50.3776,8.89724,427,dump1090
559,50.8158,4.4347,100,dump1090
560,50.1568,10.0276,231,dump1090
561,56.144604,9.066883,63.722809,Radarcape
562,76.45672,10.13551,17,dump1090
563,52.192055,21.02194,86.154045,Radarcape
564,39.231777,-9.308084,63.964287,Radarcape
565,47.81743,0.56717,110,dump1090
566,43.5826,1.4728,495,dump1090
567,52.29577,4.69579,8,dump1090
568,40.165146,-8.19922,180.719147,Radarcape
569,38.989357,-7.150189,241.44342,Radarcape
570,50.0673,14.4519,202,dump1090
571,44.6983,10.6313,58,dump1090
572,49.471614,7.696559,265.109,GRX1090
573,52.1897,0.1383,18,dump1090
574,47.5783,-0.5647,50,dump1090
575,50.864,-1.1812,19.22,dump1090
576,50.77492,3.94975,100,dump1090
577,47.4722,19.2216,472,dump1090
578,50.7015,8.314159,270,dump1090
579,52.059053,1.171239,46,dump1090
580,46.86513,8.64859,475,dump1090
581,46.86418,8.64853,481,dump1090
582,42.821762,-1.663048,40,dump1090
583,51.32772,3.485645,30,dump1090
584,49.127,8.5192,125,dump1090
585,42.36167,-3.675535,0,dump1090
586,48.318325,11.662741,469,dump1090
587,49.106469,2.685099,96,dump1090
588,41.64923,-0.89747,275,dump1090
589,60.0842,10.8689,205,dump1090
590,48.266406,11.668269,493.3066,dump1090
591,44.8839,-0.4228,112,dump1090
592,51.8673,0.9558,17,dump1090
593,53.5793,9.84913,30,dump1090
594,46.016953,8.870303,717,dump1090
595,53.571149,-3.059619,20,dump1090
596,51.8297,4.7637,10,dump1090
597,50.6448,7.2273,200,dump1090
598,48.711021,9.265381,355.447235,Radarcape
599,53.65831,10.00618,23,dump1090
600,49.1926,2.1811,95,dump1090
601,51.7341,-10.2441,248,dump1090
602,55.7069,13.1656,38,dump1090
603,50.123,8.69833,121,dump1090
604,55.70691,13.16566,39,dump1090
605,51.7254,10.2515,255,dump1090
606,55.641,-3.1711,166.9,dump1090
607,48.0937,11.6352,544,dump1090
608,57.5058,12.062,17,dump1090
609,55.780699,-4.471559,200,dump1090
610,51.5224,-0.6715,10,dump1090
611,48.22067,11.32825,503,dump1090
612,43.3701,-2.7631,660,dump1090
613,43.3701,-2.7631,660,dump1090
614,49.4052,11.1772,341,dump1090
615,52.0588,4.3411,49,dump1090
616,53.26,-7.8764,67,dump1090
617,53.7454,-0.3862,15,dump1090
618,51.5612,0.229,38,dump1090
619,44.3613,8.5736,50,dump1090
620,46.5253,11.4252,1200,dump1090
621,49.8699,8.7877,160,dump1090
622,50.0092,8.6536,120,dump1090
623,54.3,10.116,44,dump1090
624,52.395031,13.53799,34,dump1090
625,52.38154,9.98306,72,dump1090
626,51.17,6.2834,67,dump1090
627,47.130673,15.20915,930,dump1090
628,41.4643,2.0394,120,dump1090
629,46.94054,7.39971,560,dump1090
630,49.0526,18.9238,1374,dump1090
631,48.738039,2.350396,80,dump1090
632,47.036171,8.324139,461.417999,Radarcape
633,53.1789,5.9266,11,dump1090
634,50.697,7.165,74,dump1090
635,49.0526,18.9238,417,dump1090
636,51.962819,16.312366,81,dump1090
637,46.588738,20.493016,81.275199,Radarcape
638,46.94054,7.39971,575,dump1090
639,44.25,2.14,50,dump1090
640,45.9957,8.89851,295,dump1090
641,53.5464,8.01,5,dump1090
642,47.3619,8.3593,530,dump1090
643,50.7771,4.953,45,dump1090
644,52.3717,1.10008,30.572,dump1090
645,49.12711,8.4093,108,dump1090
646,38.013394,-1.173889,70,dump1090
647,59.5755,7.9758,560,dump1090
648,59.4508,24.682,22,dump1090
649,28.4847,-16.3176,396,dump1090
650,52.2635,20.9635,0,dump1090
651,59.5734,7.9785,530,dump1090
652,40.3137,-3.7277,230,dump1090
653,69.0422,18.5084,80,dump1090
654,49.8612,10.8542,895,dump1090
655,49.8612,10.8543,250,dump1090
656,49.1926,2.1811,95,dump1090
657,53.44134,-2.96415,45.8,dump1090
658,56.0666,-3.458,63,dump1090
659,51.0674,4.535,8,dump1090
660,60.1759,10.2542,226,dump1090
661,51.001,2.41608,94,dump1090
662,44.7358,-0.6793,54,dump1090
663,49.988205,8.591845,134.774994,Radarcape
664,50.8362,6.072,170,dump1090
665,45.7417,4.8212,170,dump1090
666,60.1506,24.6605,55,dump1090
667,53.5739,10.043,10,dump1090
668,52.2,20.4,100,dump1090
669,45.7891,3.0877,385,dump1090
670,51.341671,5.893159,31.316589,Radarcape
671,50.0369,14.3141,352,dump1090
672,51.2001,5.1103,30,dump1090
673,54.80403,11.872565,10,dump1090
674,52.3086,4.7638,10,dump1090
675,52.5279,13.4479,52,dump1090
676,50.9445,-2.6821,74,dump1090
